gene	FCH1	FCH2	FCH3	FTH1	FTH2	FTH3	FCNT1	FCNT2	FCNT3	FTNT1	FTNT2	FTNT3	MCH1	MCH2	MCH3	MTH1	MTH2	MTH3	MCNT1	MCNT2	MCNT3	MTNT1	MTNT2	MTNT3
gene:ENSTGUG00000000048	100.316	84.8807	74.9856	84.6944	85.1278	245.62	100.791	75.334	104.335	69.6781	80.8962	89.1281	74.8851	84.5953	70.8139	92.1901	84.2136	73.1503	63.6139	82.1913	74.7072	100.868	126.067	89.7165
gene:ENSTGUG00000000049	544.093	488.159	452.064	187.546	427.931	2421.37	539.415	423.903	703.747	445.539	490.305	417.19	472.365	482.819	508.871	394.368	537.29	341.518	434.776	373.037	471.704	400.399	1241.15	607.58
gene:ENSTGUG00000000050	21.0882	9.83638	19.6783	22.1063	16.4458	7.12097	13.031	18.5559	31.186	14.7088	16.3964	15.0031	13.895	15.6449	13.0111	6.19258	17.2676	9.41954	14.7093	18.9746	12.4856	9.72993	29.9623	13.255
gene:ENSTGUG00000000051	8.85436	8.68116	10.484	9.70658	15.4094	6.34146	9.91409	9.87597	9.45273	13.5873	11.7603	11.532	11.6394	10.7954	9.52748	9.77723	7.039	9.49305	10.8739	13.4905	10.0186	8.5921	10.683	10.1928
gene:ENSTGUG00000000052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSTGUG00000000053	0.529189	0.50036	3.48716	0.431674	1.41436	0.595134	0.93741	1.08885	1.96293	0.60582	0.231634	1.016	1.31698	0.910423	2.10044	0.682795	0.813033	1.53507	2.08043	0.803036	0.67997	0.73122	5.8764	0.378712
gene:ENSTGUG00000000054	0.249084	0.0877443	0	0.555958	0.128968	0	0.510545	0.372682	0.138354	0.186161	0.145049	0	0	0	0.554609	0.0807172	0.222423	0	0.357793	0	0.119578	0	0.524506	0.129847
gene:ENSTGUG00000000055	56.4258	109.924	63.8712	75.4105	49.8996	7.2104	98.3553	115.907	71.2391	121	120.508	89.2272	54.2678	105.475	144.407	74.8233	165.212	94.8933	53.2519	133.99	124.783	38.4794	62.7398	179.752
gene:ENSTGUG00000000056	215.009	217.55	248.113	177.835	154.856	159.222	199.739	246.296	260.807	276.264	240.542	248.937	232.206	210.415	278.889	218.782	250.589	187.965	219.509	229.552	200.051	212.573	383.399	305.102
gene:ENSTGUG00000000057	3.34636	9.46573	2.51319	3.52444	2.75786	2.18045	6.1242	1.26421	3.59565	2.47492	1.08239	3.01292	2.7858	3.9772	5.99384	1.56417	1.0844	4.39887	1.56722	1.11791	0.452923	2.7953	2.59607	0.906488
gene:ENSTGUG00000000058	16.6756	9.49231	11.1527	7.37959	10.4724	16.3982	11.4847	7.53198	13.31	5.95597	5.8292	10.8795	17.9227	17.2051	17.5119	21.5284	17.8489	20.5866	16.2332	14.554	19.0751	22.3561	18.9846	14.1175
gene:ENSTGUG00000000059	44.5423	42.081	60.6766	52.6026	49.3605	56.7402	43.6874	52.2811	39.631	58.2922	65.9565	60.0792	40.1635	51.0225	58.5993	36.108	47.1776	45.2054	38.3486	39.6903	41.524	41.2827	55.1808	44.645
gene:ENSTGUG00000000060	26.0597	10.3349	11.7586	19.0833	14.656	12.1702	11.616	9.9453	27.3342	17.3946	8.6699	9.33803	26.3738	15.9323	11.129	7.38176	9.57768	8.17929	22.851	13.2596	9.52766	13.068	42.7016	13.45
gene:ENSTGUG00000000061	25.4926	24.5508	6.94931	19.0608	14.8298	8.52168	18.901	3.46846	11.7152	9.99836	3.9506	3.35165	15.2998	21.2038	31.1505	17.9742	8.11132	25.129	8.95856	12.3042	6.55242	12.9293	28.7212	7.68505
gene:ENSTGUG00000000062	2.51393	0.212007	0.538534	0	0.92999	0.6272	0.217084	1.06812	0.813061	0.268336	2.22979	0.500077	0.707739	0.187324	0.658514	0.247545	0	0.374176	0.830068	0	0.639539	0.452771	2.03017	0.281706
gene:ENSTGUG00000000063	25.2456	38.434	22.6919	20.0242	24.7689	55.6046	25.8333	25.2466	21.5926	19.5382	17.8367	32.0838	20.3589	23.9127	36.5843	26.5257	26.4856	27.8658	19.6645	15.3022	28.3407	29.0633	28.3364	19.9547
gene:ENSTGUG00000000064	4.8754	1.78141	0.649513	4.80634	3.34717	1.37385	2.26584	0.517939	2.7379	2.53259	1.4194	2.52821	6.60727	1.84432	0.695212	0.38285	1.96785	0.84247	2.09827	1.56955	0	0.964932	0.70904	2.13513
gene:ENSTGUG00000000065	5.88351	7.29789	10.4882	9.90452	13.3272	1.47952	11.606	11.7952	8.0515	17.5679	17.2294	12.0244	5.85866	9.29411	9.3249	7.16809	6.31559	9.02272	8.58298	12.0229	12.5333	6.86742	10.249	9.67077
gene:ENSTGUG00000000066	44.9601	59.1035	40.7627	64.7384	33.5547	7.37291	40.3726	42.8163	45.8257	39.1189	32.9445	35.8474	47.7627	44.7319	49.3047	33.1982	50.8063	35.6337	54.0272	62.0205	41.2613	24.4793	65.2587	44.8504
gene:ENSTGUG00000000067	74.7802	81.33	88.9925	53.3804	76.945	82.49	71.5783	68.8303	90.0662	67.2342	62.7548	61.9686	66.4722	61	73.6556	60.9326	84.8948	90.1413	67.9247	46.8879	62.3685	59.8419	89.699	72.0864
gene:ENSTGUG00000000068	0.615579	3.3212	1.38849	1.35786	1.12726	4.30604	1.26215	1.8184	0.849154	1.35466	0.0899285	2.59007	1.67997	0.803818	1.43068	1.18348	2.90533	0.706243	1.8972	0.720279	0.663621	0.931144	4.77568	0.58819
gene:ENSTGUG00000000069	290.107	385.043	262.763	245.589	205.576	203.032	492.487	366.408	347.293	442.969	402.234	314.256	299.562	317.062	466.033	305.623	450.551	280.081	259.06	290.587	328.295	230.558	358.875	481.136
gene:ENSTGUG00000000070	43.7454	61.3465	32.1871	57.343	48.0029	51.2903	21.6522	46.4225	35.0816	37.0835	30.9156	43.5156	61.7662	21.806	37.7702	69.0218	41.4818	63.6763	63.8485	20.6317	42.0363	89.7841	50.7956	54.5978
gene:ENSTGUG00000000071	0	0.113061	0.250034	0	0.104609	0.170843	0.385074	0	0.349803	0	0.109622	0	0.0833662	0	0.0718505	0.0764533	0.564467	0.957086	0.122824	0	0	0.0673949	0.117701	0.0834921
gene:ENSTGUG00000000072	5.16498	1.12976	2.68348	5.76399	0.955909	1.77712	3.26864	1.02523	3.89755	4.75342	3.04941	0.204283	17.4711	4.32896	3.88351	10.5717	3.27681	8.00352	11.4943	4.60417	21.7747	8.36839	11.8639	28.0035
gene:ENSTGUG00000000073	42.5528	24.1847	25.1024	28.8292	13.9184	6.56368	18.2314	18.604	49.4177	22.8334	17.0061	12.7006	29.4276	26.4827	33.7711	14.9554	36.5978	19.3819	27.455	28.3997	23.3209	12.9348	33.4448	23.4292
gene:ENSTGUG00000000074	0	0	0	0	0.323062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186326	0	0
gene:ENSTGUG00000000075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSTGUG00000000076	509.906	470.049	332.371	248.027	417.054	3618.91	468.609	331.273	679.082	339.424	366.446	371.066	444.093	384.87	365.47	340.74	437.463	283.375	442.677	333.861	455.919	350.998	1129.71	407.465
gene:ENSTGUG00000000077	0.346867	0.45441	0	0	0.597297	0	0	0	0.650384	0	0	0	0	0	0	0	0	0	0	0.532834	0	0.135506	0	0.581987
gene:ENSTGUG00000000078	0.389466	0.373574	0.354861	1.01306	0.297149	0	0	0	0	0.624336	0	1.00328	0	0	0	0	0	0	0	0	0	0	0	0.42543
gene:ENSTGUG00000000079	47.9645	48.6594	63.6407	64.403	57.0092	21.1025	66.7938	74.5135	58.085	77.8303	76.4101	66.4332	54.8085	65.8732	65.871	53.8031	74.4983	58.785	52.3139	61.4179	51.8691	39.7927	61.3246	77.8542
gene:ENSTGUG00000000080	42.8959	47.0861	39.4194	33.9531	28.6489	4.85963	40.592	45.0105	56.7669	47.7638	34.9365	32.667	47.3241	42.7437	49.3807	31.4513	36.0549	29.0002	58.8404	31.2708	39.1683	28.5172	39.7032	41.4882
